#Accretion angular momentum 
#as function of Black Hole Mass
#rc_a and rc_b are bracketing the circularization radius,
#at which gas with initial angular momentum l_acc
#circularizes, which thus is the accretion radius
#
#l_acc, mbh, log(l_acc), log(mbh), rc_a, rc_b
0.005000 0.025600 -2.301030 -1.591761 0.001016 0.000976
0.005000 0.025700 -2.301030 -1.590067 0.001012 0.000973
0.005000 0.025800 -2.301030 -1.588381 0.001008 0.000969
0.005000 0.025900 -2.301030 -1.586701 0.001004 0.000965
0.005000 0.026000 -2.301030 -1.585027 0.001000 0.000961
0.005100 0.026100 -2.292430 -1.583360 0.001036 0.000996
0.005100 0.026200 -2.292430 -1.581699 0.001032 0.000993
0.005100 0.026300 -2.292430 -1.580045 0.001028 0.000989
0.005100 0.026400 -2.292430 -1.578397 0.001024 0.000985
0.005100 0.026500 -2.292430 -1.576755 0.001020 0.000981
0.005100 0.026600 -2.292430 -1.575119 0.001016 0.000978
0.005100 0.026700 -2.292430 -1.573489 0.001013 0.000974
0.005100 0.026800 -2.292430 -1.571866 0.001009 0.000970
0.005100 0.026900 -2.292430 -1.570248 0.001005 0.000967
0.005100 0.027000 -2.292430 -1.568637 0.001001 0.000963
0.005200 0.027100 -2.283997 -1.567031 0.001036 0.000998
0.005200 0.027200 -2.283997 -1.565432 0.001033 0.000994
0.005200 0.027300 -2.283997 -1.563838 0.001029 0.000990
0.005200 0.027400 -2.283997 -1.562250 0.001025 0.000987
0.005200 0.027500 -2.283997 -1.560668 0.001021 0.000983
0.005200 0.027600 -2.283997 -1.559092 0.001018 0.000980
0.005200 0.027700 -2.283997 -1.557521 0.001014 0.000976
0.005200 0.027800 -2.283997 -1.555956 0.001010 0.000973
0.005200 0.027900 -2.283997 -1.554396 0.001007 0.000969
0.005200 0.028000 -2.283997 -1.552843 0.001003 0.000966
0.005300 0.028100 -2.275724 -1.551294 0.001038 0.001000
0.005300 0.028200 -2.275724 -1.549752 0.001034 0.000996
0.005300 0.028300 -2.275724 -1.548214 0.001030 0.000992
0.005300 0.028400 -2.275724 -1.546682 0.001027 0.000989
0.005300 0.028500 -2.275724 -1.545156 0.001023 0.000986
0.005300 0.028600 -2.275724 -1.543635 0.001019 0.000982
0.005300 0.028700 -2.275724 -1.542119 0.001016 0.000979
0.005300 0.028800 -2.275724 -1.540608 0.001012 0.000975
0.005300 0.028900 -2.275724 -1.539103 0.001009 0.000972
0.005300 0.029000 -2.275724 -1.537603 0.001005 0.000969
0.005300 0.029100 -2.275724 -1.536108 0.001002 0.000965
0.005400 0.029200 -2.267606 -1.534618 0.001036 0.000999
0.005400 0.029300 -2.267606 -1.533133 0.001032 0.000995
0.005400 0.029400 -2.267606 -1.531653 0.001029 0.000992
0.005400 0.029500 -2.267606 -1.530179 0.001025 0.000988
0.005400 0.029600 -2.267606 -1.528709 0.001022 0.000985
0.005400 0.029700 -2.267606 -1.527244 0.001018 0.000982
0.005400 0.029800 -2.267606 -1.525784 0.001015 0.000978
0.005400 0.029900 -2.267606 -1.524329 0.001012 0.000975
0.005400 0.030000 -2.267606 -1.522879 0.001008 0.000972
0.005400 0.030100 -2.267606 -1.521434 0.001005 0.000969
0.005400 0.030200 -2.267606 -1.519994 0.001002 0.000965
0.005500 0.030300 -2.259637 -1.518558 0.001035 0.000998
0.005500 0.030400 -2.259637 -1.517127 0.001031 0.000995
0.005500 0.030500 -2.259637 -1.515701 0.001028 0.000992
0.005500 0.030600 -2.259637 -1.514279 0.001025 0.000988
0.005500 0.030700 -2.259637 -1.512862 0.001021 0.000985
0.005500 0.030800 -2.259637 -1.511450 0.001018 0.000982
0.005500 0.030900 -2.259637 -1.510042 0.001015 0.000979
0.005500 0.031000 -2.259637 -1.508639 0.001012 0.000976
0.005500 0.031100 -2.259637 -1.507240 0.001008 0.000973
0.005500 0.031200 -2.259637 -1.505846 0.001005 0.000969
0.005500 0.031300 -2.259637 -1.504456 0.001002 0.000966
0.005600 0.031400 -2.251812 -1.503071 0.001035 0.000999
0.005600 0.031500 -2.251812 -1.501690 0.001031 0.000995
0.005600 0.031600 -2.251812 -1.500313 0.001028 0.000992
0.005600 0.031700 -2.251812 -1.498941 0.001025 0.000989
0.005600 0.031800 -2.251812 -1.497573 0.001022 0.000986
0.005600 0.031900 -2.251812 -1.496210 0.001018 0.000983
0.005600 0.032000 -2.251812 -1.494850 0.001015 0.000980
0.005600 0.032100 -2.251812 -1.493495 0.001012 0.000977
0.005600 0.032200 -2.251812 -1.492145 0.001009 0.000974
0.005600 0.032300 -2.251812 -1.490798 0.001006 0.000971
0.005600 0.032400 -2.251812 -1.489455 0.001003 0.000968
0.005700 0.032500 -2.244125 -1.488117 0.001035 0.001000
0.005700 0.032600 -2.244125 -1.486783 0.001032 0.000997
0.005700 0.032700 -2.244125 -1.485453 0.001029 0.000994
0.005700 0.032800 -2.244125 -1.484126 0.001026 0.000990
